Datum,Zeit,PM10,PM25,PM100
24Oct2021,12:16:43,6.0,7.0,8.0
24Oct2021,12:16:44,6.0,7.0,8.0
24Oct2021,12:16:45,6.0,7.0,8.0
24Oct2021,12:16:46,5.0,7.0,8.0
24Oct2021,12:16:47,5.0,7.0,8.0
24Oct2021,12:16:48,5.0,7.0,8.0
24Oct2021,12:16:49,5.0,7.0,8.0
24Oct2021,12:16:50,5.0,7.0,8.0
24Oct2021,12:16:51,5.0,7.0,8.0
24Oct2021,12:16:52,5.0,7.0,8.0
24Oct2021,12:16:53,4.0,6.0,6.0
24Oct2021,12:16:54,4.0,6.0,6.0
24Oct2021,12:16:55,5.0,6.0,7.0
24Oct2021,12:16:56,5.0,6.0,7.0
24Oct2021,12:16:57,5.0,6.0,7.0
24Oct2021,12:16:58,4.0,5.0,7.0
24Oct2021,12:16:59,4.0,5.0,7.0
24Oct2021,12:17:00,4.0,6.0,7.0
24Oct2021,12:17:01,4.0,6.0,7.0
24Oct2021,12:17:02,5.0,6.0,7.0
24Oct2021,12:17:03,5.0,5.0,7.0
24Oct2021,12:17:04,5.0,5.0,7.0
24Oct2021,12:17:05,4.0,5.0,6.0
24Oct2021,12:17:06,4.0,5.0,6.0
24Oct2021,12:17:07,4.0,5.0,6.0
24Oct2021,12:17:08,4.0,5.0,6.0
24Oct2021,12:17:09,5.0,5.0,6.0
24Oct2021,12:17:10,5.0,5.0,7.0
24Oct2021,12:17:11,4.0,5.0,7.0
24Oct2021,12:17:12,4.0,5.0,7.0
24Oct2021,12:17:13,4.0,5.0,7.0
24Oct2021,12:17:14,5.0,6.0,7.0
24Oct2021,12:17:15,5.0,6.0,7.0
24Oct2021,12:17:16,5.0,7.0,8.0
24Oct2021,12:17:17,5.0,7.0,7.0
24Oct2021,12:17:18,5.0,7.0,7.0
24Oct2021,12:17:19,5.0,7.0,8.0
24Oct2021,12:17:20,5.0,7.0,8.0
24Oct2021,12:17:21,5.0,7.0,8.0
24Oct2021,12:17:22,4.0,6.0,7.0
24Oct2021,12:17:23,4.0,6.0,8.0
24Oct2021,12:17:24,5.0,7.0,9.0
24Oct2021,12:17:25,5.0,7.0,9.0
24Oct2021,12:17:26,5.0,8.0,9.0
24Oct2021,12:17:27,5.0,8.0,9.0
24Oct2021,12:17:28,5.0,8.0,8.0
24Oct2021,12:17:29,5.0,8.0,8.0
24Oct2021,12:17:30,5.0,8.0,8.0
24Oct2021,12:17:31,5.0,7.0,7.0
24Oct2021,12:17:32,5.0,7.0,7.0
24Oct2021,12:17:33,5.0,6.0,7.0
24Oct2021,12:17:34,5.0,6.0,7.0
24Oct2021,12:17:35,4.0,6.0,7.0
24Oct2021,12:17:36,4.0,6.0,7.0
24Oct2021,12:17:37,4.0,6.0,6.0
24Oct2021,12:17:38,4.0,7.0,7.0
24Oct2021,12:17:39,4.0,7.0,7.0
24Oct2021,12:17:40,4.0,6.0,6.0
24Oct2021,12:17:41,4.0,6.0,6.0
24Oct2021,12:17:42,4.0,6.0,6.0
24Oct2021,12:17:43,4.0,6.0,6.0
24Oct2021,12:17:44,5.0,6.0,6.0
24Oct2021,12:17:45,5.0,7.0,7.0
24Oct2021,12:17:46,5.0,7.0,7.0
24Oct2021,12:17:47,5.0,7.0,8.0
24Oct2021,12:17:48,5.0,7.0,8.0
24Oct2021,12:17:49,5.0,7.0,8.0
24Oct2021,12:17:50,5.0,7.0,8.0
24Oct2021,12:17:51,4.0,6.0,7.0
24Oct2021,12:17:52,4.0,6.0,7.0
24Oct2021,12:17:53,4.0,6.0,7.0
24Oct2021,12:17:54,5.0,7.0,8.0
24Oct2021,12:17:55,5.0,7.0,8.0
24Oct2021,12:17:56,5.0,7.0,7.0
24Oct2021,12:17:57,5.0,7.0,7.0
24Oct2021,12:17:58,5.0,7.0,7.0
24Oct2021,12:17:59,5.0,7.0,7.0
24Oct2021,12:18:00,5.0,7.0,7.0
24Oct2021,12:18:01,5.0,6.0,7.0
24Oct2021,12:18:02,5.0,6.0,7.0
24Oct2021,12:18:03,5.0,6.0,6.0
24Oct2021,12:18:04,5.0,6.0,6.0
24Oct2021,12:18:05,4.0,5.0,6.0
24Oct2021,12:18:06,4.0,5.0,6.0
24Oct2021,12:18:07,4.0,5.0,6.0
24Oct2021,12:18:08,4.0,5.0,6.0
24Oct2021,12:18:09,4.0,5.0,6.0
24Oct2021,12:18:10,4.0,6.0,6.0
24Oct2021,12:18:11,4.0,5.0,6.0
24Oct2021,12:18:12,4.0,5.0,6.0
24Oct2021,12:18:13,4.0,5.0,6.0
24Oct2021,12:18:14,5.0,6.0,6.0
24Oct2021,12:18:15,4.0,5.0,6.0
24Oct2021,12:18:16,4.0,5.0,6.0
24Oct2021,12:18:17,4.0,5.0,6.0
24Oct2021,12:18:18,4.0,5.0,6.0
24Oct2021,12:18:19,5.0,6.0,6.0
24Oct2021,12:18:20,5.0,6.0,6.0
24Oct2021,12:18:21,5.0,5.0,5.0
24Oct2021,12:18:22,5.0,6.0,6.0
24Oct2021,12:18:23,5.0,6.0,6.0
24Oct2021,12:18:24,5.0,6.0,6.0
24Oct2021,12:18:25,5.0,6.0,6.0
24Oct2021,12:18:26,5.0,6.0,6.0
24Oct2021,12:18:27,5.0,6.0,6.0
24Oct2021,12:18:28,5.0,6.0,6.0
24Oct2021,12:18:29,5.0,6.0,6.0
24Oct2021,12:18:30,5.0,6.0,6.0
24Oct2021,12:18:31,5.0,6.0,6.0
24Oct2021,12:18:32,5.0,6.0,6.0
24Oct2021,12:18:33,5.0,6.0,6.0
24Oct2021,12:18:34,5.0,6.0,6.0
24Oct2021,12:18:35,6.0,6.0,7.0
24Oct2021,12:18:36,5.0,6.0,7.0
24Oct2021,12:18:37,5.0,6.0,7.0
24Oct2021,12:18:38,6.0,7.0,8.0
24Oct2021,12:18:39,6.0,7.0,8.0
24Oct2021,12:18:40,5.0,7.0,8.0
24Oct2021,12:18:41,6.0,7.0,8.0
24Oct2021,12:18:42,6.0,7.0,8.0
24Oct2021,12:18:43,6.0,7.0,8.0
24Oct2021,12:18:44,5.0,6.0,8.0
24Oct2021,12:18:45,5.0,6.0,8.0
24Oct2021,12:18:46,5.0,6.0,8.0
24Oct2021,12:18:47,4.0,6.0,7.0
24Oct2021,12:18:48,4.0,6.0,7.0
24Oct2021,12:18:49,5.0,6.0,7.0
24Oct2021,12:18:50,5.0,6.0,7.0
24Oct2021,12:18:51,5.0,7.0,8.0
24Oct2021,12:18:52,5.0,7.0,7.0
24Oct2021,12:18:53,5.0,7.0,7.0
24Oct2021,12:18:54,4.0,7.0,7.0
24Oct2021,12:18:55,4.0,7.0,7.0
24Oct2021,12:18:56,4.0,6.0,6.0
24Oct2021,12:18:57,4.0,6.0,6.0
24Oct2021,12:18:58,4.0,5.0,6.0
24Oct2021,12:18:59,4.0,5.0,6.0
24Oct2021,12:19:00,4.0,5.0,6.0
24Oct2021,12:19:01,4.0,5.0,5.0
24Oct2021,12:19:02,4.0,5.0,5.0
24Oct2021,12:19:03,4.0,5.0,5.0
24Oct2021,12:19:04,4.0,5.0,5.0
24Oct2021,12:19:05,5.0,5.0,6.0
24Oct2021,12:19:06,4.0,5.0,6.0
24Oct2021,12:19:07,4.0,5.0,6.0
24Oct2021,12:19:08,4.0,4.0,5.0
24Oct2021,12:19:09,3.0,3.0,4.0
24Oct2021,12:19:10,3.0,3.0,4.0
24Oct2021,12:19:11,4.0,5.0,6.0
24Oct2021,12:19:12,4.0,5.0,6.0
24Oct2021,12:19:13,4.0,5.0,6.0
24Oct2021,12:19:14,4.0,5.0,6.0
24Oct2021,12:19:15,5.0,6.0,7.0
24Oct2021,12:19:16,5.0,6.0,7.0
24Oct2021,12:19:17,5.0,6.0,7.0
24Oct2021,12:19:18,5.0,6.0,7.0
24Oct2021,12:19:19,5.0,6.0,7.0
24Oct2021,12:19:20,5.0,6.0,7.0
24Oct2021,12:19:21,5.0,6.0,7.0
24Oct2021,12:19:22,5.0,6.0,6.0
24Oct2021,12:19:23,4.0,5.0,5.0
24Oct2021,12:19:24,4.0,6.0,6.0
24Oct2021,12:19:25,4.0,6.0,6.0
24Oct2021,12:19:26,5.0,7.0,7.0
24Oct2021,12:19:27,5.0,7.0,7.0
24Oct2021,12:19:28,5.0,7.0,7.0
24Oct2021,12:19:29,5.0,6.0,7.0
24Oct2021,12:19:30,5.0,6.0,7.0
24Oct2021,12:19:31,5.0,6.0,7.0
24Oct2021,12:19:32,5.0,6.0,7.0
24Oct2021,12:19:33,5.0,5.0,6.0
24Oct2021,12:19:34,5.0,5.0,7.0
24Oct2021,12:19:35,5.0,5.0,7.0
24Oct2021,12:19:36,5.0,5.0,7.0
24Oct2021,12:19:37,5.0,5.0,7.0
24Oct2021,12:19:38,4.0,5.0,6.0
24Oct2021,12:19:39,4.0,5.0,6.0
24Oct2021,12:19:40,4.0,5.0,7.0
24Oct2021,12:19:41,5.0,6.0,7.0
24Oct2021,12:19:42,5.0,6.0,7.0
24Oct2021,12:19:43,5.0,5.0,6.0
24Oct2021,12:19:44,5.0,5.0,6.0
24Oct2021,12:19:45,5.0,6.0,7.0
24Oct2021,12:19:46,5.0,6.0,7.0
24Oct2021,12:19:47,5.0,6.0,7.0
24Oct2021,12:19:48,5.0,6.0,7.0
24Oct2021,12:19:49,5.0,6.0,7.0
24Oct2021,12:19:50,5.0,6.0,7.0
24Oct2021,12:19:51,5.0,6.0,7.0
24Oct2021,12:19:52,5.0,6.0,6.0
24Oct2021,12:19:53,5.0,6.0,6.0
24Oct2021,12:19:54,5.0,6.0,6.0
24Oct2021,12:19:55,5.0,6.0,6.0
24Oct2021,12:19:56,5.0,5.0,5.0
24Oct2021,12:19:57,5.0,5.0,5.0
24Oct2021,12:19:58,5.0,5.0,5.0
24Oct2021,12:19:59,5.0,6.0,6.0
24Oct2021,12:20:00,5.0,6.0,6.0
24Oct2021,12:20:01,5.0,6.0,6.0
24Oct2021,12:20:02,5.0,6.0,6.0
24Oct2021,12:20:03,5.0,6.0,6.0
24Oct2021,12:20:04,5.0,6.0,6.0
24Oct2021,12:20:05,4.0,5.0,5.0
24Oct2021,12:20:06,4.0,5.0,5.0
24Oct2021,12:20:07,4.0,5.0,5.0
24Oct2021,12:20:08,5.0,6.0,7.0
24Oct2021,12:20:09,5.0,6.0,7.0
24Oct2021,12:20:10,6.0,6.0,7.0
24Oct2021,12:20:11,5.0,6.0,7.0
24Oct2021,12:20:12,5.0,6.0,7.0
24Oct2021,12:20:13,5.0,6.0,7.0
24Oct2021,12:20:14,5.0,6.0,7.0
24Oct2021,12:20:15,5.0,6.0,7.0
24Oct2021,12:20:16,5.0,6.0,7.0
24Oct2021,12:20:17,5.0,5.0,6.0
24Oct2021,12:20:18,4.0,5.0,6.0
24Oct2021,12:20:19,4.0,5.0,6.0
24Oct2021,12:20:20,5.0,5.0,6.0
24Oct2021,12:20:21,5.0,5.0,6.0
24Oct2021,12:20:22,5.0,6.0,7.0
24Oct2021,12:20:23,5.0,6.0,7.0
24Oct2021,12:20:24,5.0,6.0,6.0
24Oct2021,12:20:25,4.0,4.0,5.0
24Oct2021,12:20:26,4.0,4.0,5.0
24Oct2021,12:20:27,4.0,4.0,5.0
24Oct2021,12:20:28,4.0,4.0,5.0
24Oct2021,12:20:29,5.0,6.0,6.0
24Oct2021,12:20:30,5.0,6.0,6.0
24Oct2021,12:20:31,5.0,5.0,6.0
24Oct2021,12:20:32,5.0,5.0,6.0
24Oct2021,12:20:33,5.0,5.0,6.0
24Oct2021,12:20:34,5.0,5.0,7.0
24Oct2021,12:20:35,5.0,5.0,7.0
24Oct2021,12:20:36,5.0,5.0,7.0
24Oct2021,12:20:37,5.0,5.0,7.0
24Oct2021,12:20:38,4.0,4.0,5.0
24Oct2021,12:20:39,4.0,4.0,5.0
24Oct2021,12:20:40,5.0,5.0,7.0
24Oct2021,12:20:41,5.0,5.0,7.0
24Oct2021,12:20:42,5.0,5.0,7.0
24Oct2021,12:20:43,5.0,5.0,6.0
24Oct2021,12:20:44,5.0,5.0,6.0
24Oct2021,12:20:45,5.0,5.0,6.0
24Oct2021,12:20:46,5.0,5.0,6.0
24Oct2021,12:20:47,4.0,4.0,5.0
24Oct2021,12:20:48,4.0,4.0,6.0
24Oct2021,12:20:49,4.0,4.0,6.0
24Oct2021,12:20:50,4.0,4.0,7.0
24Oct2021,12:20:51,4.0,4.0,7.0
24Oct2021,12:20:52,5.0,5.0,7.0
24Oct2021,12:20:53,5.0,5.0,7.0
24Oct2021,12:20:54,4.0,5.0,7.0
24Oct2021,12:20:55,4.0,4.0,6.0
24Oct2021,12:20:56,4.0,4.0,6.0
24Oct2021,12:20:57,3.0,4.0,6.0
24Oct2021,12:20:58,3.0,4.0,6.0
24Oct2021,12:20:59,4.0,5.0,7.0
24Oct2021,12:21:00,4.0,5.0,7.0
24Oct2021,12:21:01,4.0,5.0,7.0
24Oct2021,12:21:02,4.0,5.0,7.0
24Oct2021,12:21:03,4.0,5.0,7.0
24Oct2021,12:21:04,5.0,5.0,8.0
24Oct2021,12:21:05,5.0,5.0,8.0
24Oct2021,12:21:06,5.0,5.0,6.0
24Oct2021,12:21:07,5.0,5.0,6.0
24Oct2021,12:21:08,5.0,6.0,6.0
24Oct2021,12:21:09,4.0,4.0,5.0
24Oct2021,12:21:10,3.0,3.0,4.0
24Oct2021,12:21:11,3.0,3.0,4.0
24Oct2021,12:21:12,3.0,3.0,4.0
24Oct2021,12:21:13,3.0,3.0,4.0
24Oct2021,12:21:14,4.0,4.0,5.0
24Oct2021,12:21:15,4.0,4.0,6.0
24Oct2021,12:21:16,4.0,4.0,5.0
24Oct2021,12:21:17,4.0,4.0,5.0
24Oct2021,12:21:18,5.0,5.0,6.0
24Oct2021,12:21:19,5.0,5.0,6.0
24Oct2021,12:21:20,4.0,5.0,6.0
24Oct2021,12:21:21,4.0,5.0,6.0
24Oct2021,12:21:22,4.0,5.0,6.0
24Oct2021,12:21:23,5.0,5.0,6.0
24Oct2021,12:21:24,5.0,5.0,6.0
24Oct2021,12:21:25,4.0,4.0,5.0
24Oct2021,12:21:26,4.0,4.0,5.0
24Oct2021,12:21:27,4.0,4.0,6.0
24Oct2021,12:21:28,4.0,4.0,6.0
24Oct2021,12:21:29,5.0,5.0,7.0
24Oct2021,12:21:30,5.0,5.0,7.0
24Oct2021,12:21:31,5.0,5.0,6.0
24Oct2021,12:21:32,5.0,6.0,6.0
24Oct2021,12:21:33,5.0,6.0,6.0
24Oct2021,12:21:34,6.0,6.0,7.0
24Oct2021,12:21:35,5.0,5.0,6.0
24Oct2021,12:21:36,5.0,5.0,6.0
24Oct2021,12:21:37,5.0,5.0,6.0
24Oct2021,12:21:38,6.0,7.0,7.0
24Oct2021,12:21:39,6.0,7.0,8.0
24Oct2021,12:21:40,5.0,6.0,6.0
24Oct2021,12:21:41,5.0,6.0,6.0
24Oct2021,12:21:42,5.0,6.0,6.0
24Oct2021,12:21:43,5.0,6.0,7.0
24Oct2021,12:21:44,5.0,6.0,7.0
24Oct2021,12:21:45,5.0,6.0,6.0
24Oct2021,12:21:46,5.0,6.0,6.0
24Oct2021,12:21:47,5.0,6.0,6.0
24Oct2021,12:21:48,5.0,6.0,6.0
24Oct2021,12:21:49,5.0,6.0,6.0
24Oct2021,12:21:50,6.0,7.0,7.0
24Oct2021,12:21:51,6.0,7.0,7.0
24Oct2021,12:21:52,5.0,6.0,6.0
24Oct2021,12:21:53,4.0,5.0,5.0
24Oct2021,12:21:54,4.0,5.0,5.0
24Oct2021,12:21:55,4.0,5.0,5.0
24Oct2021,12:21:56,4.0,5.0,5.0
24Oct2021,12:21:57,4.0,4.0,4.0
24Oct2021,12:21:58,4.0,4.0,4.0
24Oct2021,12:21:59,4.0,4.0,4.0
24Oct2021,12:22:00,4.0,5.0,5.0
24Oct2021,12:22:01,4.0,5.0,5.0
24Oct2021,12:22:02,4.0,5.0,5.0
24Oct2021,12:22:03,4.0,5.0,5.0
24Oct2021,12:22:04,4.0,4.0,5.0
24Oct2021,12:22:05,4.0,4.0,5.0
24Oct2021,12:22:06,4.0,4.0,5.0
24Oct2021,12:22:07,5.0,5.0,6.0
24Oct2021,12:22:08,5.0,5.0,6.0
24Oct2021,12:22:09,5.0,6.0,6.0
24Oct2021,12:22:10,5.0,5.0,8.0
24Oct2021,12:22:11,5.0,5.0,8.0
24Oct2021,12:22:12,5.0,5.0,8.0
24Oct2021,12:22:13,5.0,6.0,8.0
24Oct2021,12:22:14,5.0,6.0,8.0
24Oct2021,12:22:15,5.0,6.0,8.0
24Oct2021,12:22:16,5.0,6.0,8.0
24Oct2021,12:22:17,5.0,6.0,8.0
24Oct2021,12:22:18,4.0,6.0,8.0
24Oct2021,12:22:19,4.0,6.0,8.0
24Oct2021,12:22:20,4.0,6.0,8.0
24Oct2021,12:22:21,4.0,6.0,8.0
24Oct2021,12:22:22,4.0,6.0,8.0
24Oct2021,12:22:23,5.0,6.0,8.0
24Oct2021,12:22:24,5.0,6.0,8.0
24Oct2021,12:22:25,5.0,7.0,9.0
24Oct2021,12:22:26,5.0,7.0,9.0
24Oct2021,12:22:27,5.0,7.0,9.0
24Oct2021,12:22:28,5.0,7.0,9.0
24Oct2021,12:22:29,5.0,7.0,7.0
24Oct2021,12:22:30,6.0,7.0,7.0
24Oct2021,12:22:31,6.0,7.0,7.0
24Oct2021,12:22:32,6.0,8.0,8.0
24Oct2021,12:22:33,6.0,8.0,8.0
24Oct2021,12:22:34,6.0,7.0,7.0
24Oct2021,12:22:35,6.0,7.0,7.0
24Oct2021,12:22:36,6.0,7.0,7.0
24Oct2021,12:22:37,6.0,7.0,7.0
24Oct2021,12:22:38,6.0,7.0,7.0
24Oct2021,12:22:39,6.0,7.0,7.0
24Oct2021,12:22:40,5.0,6.0,6.0
24Oct2021,12:22:41,5.0,6.0,6.0
24Oct2021,12:22:42,5.0,6.0,6.0
24Oct2021,12:22:43,6.0,7.0,7.0
24Oct2021,12:22:44,6.0,7.0,7.0
24Oct2021,12:22:45,6.0,7.0,7.0
24Oct2021,12:22:46,5.0,6.0,6.0
24Oct2021,12:22:47,5.0,6.0,6.0
24Oct2021,12:22:48,5.0,6.0,6.0
24Oct2021,12:22:49,5.0,6.0,6.0
24Oct2021,12:22:50,5.0,6.0,6.0
24Oct2021,12:22:51,6.0,6.0,6.0
24Oct2021,12:22:52,6.0,6.0,6.0
24Oct2021,12:22:53,6.0,6.0,7.0
24Oct2021,12:22:54,6.0,6.0,7.0
24Oct2021,12:22:55,5.0,6.0,6.0
24Oct2021,12:22:56,5.0,6.0,6.0
24Oct2021,12:22:57,6.0,7.0,7.0
24Oct2021,12:22:58,6.0,7.0,7.0
24Oct2021,12:22:59,6.0,7.0,7.0
24Oct2021,12:23:00,6.0,7.0,7.0
24Oct2021,12:23:01,6.0,7.0,7.0
24Oct2021,12:23:02,6.0,7.0,7.0
24Oct2021,12:23:03,6.0,7.0,7.0
24Oct2021,12:23:04,6.0,7.0,7.0
24Oct2021,12:23:05,6.0,7.0,7.0
24Oct2021,12:23:06,6.0,7.0,7.0
24Oct2021,12:23:07,6.0,7.0,7.0
24Oct2021,12:23:08,6.0,7.0,7.0
24Oct2021,12:23:09,6.0,7.0,7.0
24Oct2021,12:23:10,6.0,7.0,7.0
24Oct2021,12:23:11,6.0,7.0,7.0
24Oct2021,12:23:12,5.0,6.0,6.0
24Oct2021,12:23:13,5.0,6.0,6.0
24Oct2021,12:23:14,4.0,5.0,5.0
24Oct2021,12:23:15,4.0,5.0,5.0
24Oct2021,12:23:16,5.0,6.0,6.0
24Oct2021,12:23:17,5.0,6.0,6.0
24Oct2021,12:23:18,5.0,6.0,6.0
24Oct2021,12:23:19,5.0,6.0,6.0
24Oct2021,12:23:20,5.0,6.0,6.0
24Oct2021,12:23:21,5.0,6.0,6.0
24Oct2021,12:23:22,5.0,6.0,6.0
24Oct2021,12:23:23,6.0,7.0,7.0
24Oct2021,12:23:24,6.0,7.0,7.0
24Oct2021,12:23:25,5.0,6.0,6.0
24Oct2021,12:23:26,5.0,6.0,6.0
24Oct2021,12:23:27,5.0,6.0,6.0
24Oct2021,12:23:28,5.0,6.0,6.0
24Oct2021,12:23:29,5.0,6.0,6.0
24Oct2021,12:23:30,5.0,6.0,6.0
24Oct2021,12:23:31,5.0,6.0,6.0
24Oct2021,12:23:32,5.0,6.0,6.0
24Oct2021,12:23:33,5.0,6.0,6.0
24Oct2021,12:23:34,5.0,6.0,6.0
24Oct2021,12:23:35,5.0,5.0,5.0
24Oct2021,12:23:36,5.0,5.0,5.0
24Oct2021,12:23:37,4.0,5.0,5.0
24Oct2021,12:23:38,4.0,5.0,5.0
24Oct2021,12:23:39,4.0,5.0,5.0
24Oct2021,12:23:40,3.0,3.0,3.0
24Oct2021,12:23:41,3.0,3.0,3.0
24Oct2021,12:23:42,4.0,4.0,4.0
24Oct2021,12:23:43,4.0,4.0,4.0
24Oct2021,12:23:44,4.0,5.0,5.0
24Oct2021,12:23:45,4.0,5.0,5.0
24Oct2021,12:23:46,4.0,5.0,5.0
24Oct2021,12:23:47,4.0,5.0,5.0
24Oct2021,12:23:48,4.0,5.0,5.0
24Oct2021,12:23:49,3.0,4.0,4.0
24Oct2021,12:23:50,3.0,4.0,4.0
24Oct2021,12:23:51,3.0,4.0,4.0
24Oct2021,12:23:52,3.0,4.0,4.0
24Oct2021,12:23:53,3.0,4.0,4.0
