sensor_id;sensor_type;location;lat;lon;timestamp;temperature;humidity
10070;DHT22;5074;53.720;10.014;2021-02-27T00:00:13;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:02:45;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:05:15;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:07:45;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:10:14;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:12:42;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:15:12;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:17:41;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:20:10;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:22:50;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:25:19;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:27:47;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:30:17;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:32:47;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:35:14;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:37:42;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:40:13;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:42:43;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:45:12;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:47:40;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:50:10;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:52:40;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:55:08;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T00:57:37;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:00:06;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:02:34;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:05:03;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:07:31;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:09:58;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:12:25;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:14:54;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:17:21;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:19:49;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:22:16;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:24:44;5.00;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:27:11;5.00;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:29:38;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:32:06;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:34:34;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:37:02;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:39:29;4.90;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:41:56;5.00;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:44:24;5.00;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:46:52;5.00;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:49:20;5.00;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:51:47;5.00;99.90
10070;DHT22;5074;53.720;10.014;2021-02-27T01:54:16;5.00;99.90
