,Time;durP1;ratioP1;P1;durP2;ratioP2;P2;SDS_P1;SDS_P2;PMS_P1;PMS_P2;Temp;Humidity;BMP_temperature;BMP_pressure;BME280_temperature;BME280_humidity;BME280_pressure;Samples;Min_cycle;Max_cycle;Signal;HPM_P1;HPM_P2
237,2021/07/27 10:02:55;;;;;;;8.13;6.30;;;25.50;60.50;;;;;;5073701;28;20032;-52
238,2021/07/27 10:05:25;;;;;;;10.38;6.70;;;25.50;60.50;;;;;;5077561;28;20031;-53
239,2021/07/27 10:07:55;;;;;;;8.73;6.67;;;25.40;60.70;;;;;;5077434;28;20024;-51
240,2021/07/27 10:10:32;;;;;;;7.60;6.78;;;25.40;61.10;;;;;;5095367;28;20262;-52
241,2021/07/27 10:13:10;;;;;;;9.60;7.18;;;25.50;61.40;;;;;;5095535;28;20482;-55
242,2021/07/27 10:15:40;;;;;;;8.88;6.97;;;25.50;61.80;;;;;;5094996;28;20028;-51
243,2021/07/27 10:18:06;;;;;;;10.40;5.97;;;25.60;62.00;;;;;;5095177;28;20028;-50
244,2021/07/27 10:20:31;;;;;;;7.68;6.50;;;25.60;61.90;;;;;;5095294;28;20032;-53
245,2021/07/27 10:22:57;;;;;;;10.00;7.10;;;25.70;62.00;;;;;;5095115;28;20047;-50
246,2021/07/27 10:25:24;;;;;;;9.85;7.18;;;25.70;62.10;;;;;;5094029;28;20464;-49
247,2021/07/27 10:27:53;;;;;;;10.05;7.70;;;25.80;62.30;;;;;;5095167;28;20051;-48
248,2021/07/27 10:30:39;;;;;;;13.55;7.47;;;25.80;62.40;;;;;;5095099;28;20031;-45
249,2021/07/27 10:33:05;;;;;;;9.43;7.30;;;25.80;62.30;;;;;;5093404;28;20040;-50
250,2021/07/27 10:35:33;;;;;;;19.55;11.57;;;25.80;62.30;;;;;;5092349;28;20024;-49
251,2021/07/27 10:38:09;;;;;;;58.22;22.10;;;25.80;62.10;;;;;;5093312;28;20024;-49
252,2021/07/27 10:40:34;;;;;;;64.18;26.15;;;25.80;62.20;;;;;;5093448;28;20036;-51
253,2021/07/27 10:43:00;;;;;;;63.60;24.75;;;25.80;62.30;;;;;;5075556;28;20024;-48
254,2021/07/27 10:45:26;;;;;;;64.28;26.02;;;25.80;62.20;;;;;;5093352;28;20028;-52
255,2021/07/27 10:47:52;;;;;;;53.63;22.80;;;25.80;62.30;;;;;;5094720;28;20099;-53
256,2021/07/27 10:50:21;;;;;;;45.20;20.80;;;25.80;62.30;;;;;;5076961;28;20040;-51
257,2021/07/27 10:52:47;;;;;;;43.53;20.92;;;25.90;62.20;;;;;;5077176;28;20023;-49
258,2021/07/27 10:55:12;;;;;;;41.38;20.33;;;25.90;62.30;;;;;;5093890;28;20033;-50
259,2021/07/27 10:57:46;;;;;;;44.38;19.35;;;26.00;62.40;;;;;;5094787;28;20478;-49
260,2021/07/27 11:00:12;;;;;;;43.40;19.60;;;25.90;62.70;;;;;;5077317;28;20027;-51
261,2021/07/27 11:02:38;;;;;;;36.97;17.27;;;25.90;63.00;;;;;;5094757;28;20103;-53
262,2021/07/27 11:05:05;;;;;;;41.17;17.10;;;25.80;63.00;;;;;;5076859;28;20040;-51
263,2021/07/27 11:07:34;;;;;;;29.58;16.15;;;25.80;63.30;;;;;;5076779;28;20115;-50
264,2021/07/27 11:09:59;;;;;;;30.00;15.25;;;25.80;63.60;;;;;;5094414;28;20095;-53
265,2021/07/27 11:12:33;;;;;;;36.30;14.85;;;25.80;63.50;;;;;;5094792;28;20451;-51
266,2021/07/27 11:15:14;;;;;;;30.85;16.20;;;25.80;63.50;;;;;;5092755;28;20034;-53
267,2021/07/27 11:17:56;;;;;;;25.80;13.50;;;25.80;63.80;;;;;;5076505;28;20120;-52
268,2021/07/27 11:20:38;;;;;;;21.13;12.45;;;25.90;63.30;;;;;;5077686;28;20479;-51
269,2021/07/27 11:23:06;;;;;;;18.38;11.20;;;26.00;63.20;;;;;;5076008;28;20032;-49
270,2021/07/27 11:25:32;;;;;;;17.27;11.30;;;26.20;62.90;;;;;;5093810;28;20020;-49
271,2021/07/27 11:27:57;;;;;;;18.00;10.82;;;26.20;62.40;;;;;;5075611;28;20054;-52
272,2021/07/27 11:30:41;;;;;;;15.05;9.80;;;26.30;61.90;;;;;;5076125;28;20031;-49
273,2021/07/27 11:33:08;;;;;;;15.57;10.05;;;26.30;61.70;;;;;;5076696;28;20024;-49
274,2021/07/27 11:35:47;;;;;;;15.48;10.43;;;26.30;62.30;;;;;;5094223;28;20024;-51
275,2021/07/27 11:38:22;;;;;;;16.08;9.75;;;26.40;62.80;;;;;;5093375;28;20016;-49
276,2021/07/27 11:40:49;;;;;;;16.15;9.77;;;26.40;62.80;;;;;;5093500;28;20467;-52
277,2021/07/27 11:43:14;;;;;;;17.55;9.75;;;26.50;62.50;;;;;;5076011;28;20027;-52
278,2021/07/27 11:45:44;;;;;;;12.32;8.05;;;26.60;62.50;;;;;;5094247;28;20629;-51
279,2021/07/27 11:48:09;;;;;;;13.70;8.35;;;26.60;61.50;;;;;;5076478;28;20119;-49
280,2021/07/27 11:50:38;;;;;;;12.57;8.48;;;26.70;61.30;;;;;;5094200;28;20379;-49
281,2021/07/27 11:53:23;;;;;;;12.88;8.32;;;26.70;61.00;;;;;;5094104;28;20117;-49
282,2021/07/27 11:55:48;;;;;;;11.52;8.27;;;26.70;60.60;;;;;;5094174;28;20104;-48
283,2021/07/27 11:58:13;;;;;;;11.32;8.23;;;26.80;60.10;;;;;;5093750;28;20099;-48
284,2021/07/27 12:00:40;;;;;;;10.63;7.70;;;26.80;60.10;;;;;;5075414;28;20028;-50
285,2021/07/27 12:03:06;;;;;;;10.05;8.07;;;26.70;60.00;;;;;;5093448;28;20464;-50
286,2021/07/27 12:05:31;;;;;;;10.43;8.15;;;26.70;59.80;;;;;;5093613;28;20027;-48
287,2021/07/27 12:07:57;;;;;;;11.35;7.75;;;26.60;59.60;;;;;;5093604;28;20455;-50
288,2021/07/27 12:10:24;;;;;;;10.85;7.70;;;26.50;59.40;;;;;;5093531;28;20379;-53
289,2021/07/27 12:12:49;;;;;;;8.73;7.30;;;26.30;59.40;;;;;;5075477;28;20028;-48
290,2021/07/27 12:15:17;;;;;;;8.90;7.22;;;26.40;59.40;;;;;;5093252;28;20024;-46
291,2021/07/27 12:17:42;;;;;;;11.30;7.45;;;26.50;59.20;;;;;;5093627;28;20020;-48
292,2021/07/27 12:20:08;;;;;;;10.43;7.32;;;26.60;58.90;;;;;;5093911;28;20055;-49
293,2021/07/27 12:22:34;;;;;;;9.90;6.95;;;26.70;58.70;;;;;;5093433;28;20032;-45
294,2021/07/27 12:24:59;;;;;;;9.20;7.63;;;26.70;58.80;;;;;;5093265;28;20031;-48
295,2021/07/27 12:27:25;;;;;;;11.13;7.95;;;26.80;58.80;;;;;;5074596;28;20028;-45
296,2021/07/27 12:29:50;;;;;;;8.63;7.13;;;26.80;58.50;;;;;;5093191;28;20032;-48
297,2021/07/27 12:32:16;;;;;;;10.98;7.65;;;26.90;58.40;;;;;;5058560;28;20043;-47
298,2021/07/27 12:34:41;;;;;;;9.50;7.93;;;26.90;58.30;;;;;;5093189;28;20028;-47
299,2021/07/27 12:37:10;;;;;;;10.88;7.53;;;27.00;58.20;;;;;;5075077;28;20135;-46
300,2021/07/27 12:39:36;;;;;;;12.23;8.25;;;27.00;57.90;;;;;;5093143;28;20036;-48
301,2021/07/27 12:42:01;;;;;;;10.75;7.68;;;27.10;57.70;;;;;;5093167;28;20044;-47
302,2021/07/27 12:44:27;;;;;;;10.35;7.50;;;27.20;57.30;;;;;;5092760;28;20434;-53
303,2021/07/27 12:46:52;;;;;;;10.30;7.60;;;27.20;57.10;;;;;;5092948;28;20030;-50
304,2021/07/27 12:49:19;;;;;;;9.75;7.35;;;27.30;57.00;;;;;;5093023;28;20024;-51
305,2021/07/27 12:51:44;;;;;;;9.05;7.07;;;27.30;56.80;;;;;;5074899;28;20505;-49
306,2021/07/27 12:54:10;;;;;;;9.75;7.75;;;27.40;56.60;;;;;;5092681;28;20059;-53
307,2021/07/27 12:56:37;;;;;;;9.88;7.68;;;27.60;56.20;;;;;;5074474;28;20115;-50
308,2021/07/27 12:59:03;;;;;;;9.85;7.63;;;27.70;55.80;;;;;;5092531;28;20034;-45
309,2021/07/27 13:01:29;;;;;;;8.90;7.03;;;27.90;55.10;;;;;;5092615;28;20115;-45
310,2021/07/27 13:03:54;;;;;;;10.27;7.35;;;28.30;54.30;;;;;;5074230;28;20074;-51
311,2021/07/27 13:06:20;;;;;;;9.98;7.00;;;28.50;53.90;;;;;;5092456;28;20024;-47
312,2021/07/27 13:08:45;;;;;;;9.13;6.75;;;28.70;53.50;;;;;;5092709;28;20043;-49
313,2021/07/27 13:11:12;;;;;;;7.97;6.53;;;28.80;53.00;;;;;;5092363;28;20020;-47
314,2021/07/27 13:13:37;;;;;;;7.78;6.75;;;28.80;53.00;;;;;;5092245;28;20024;-48
315,2021/07/27 13:16:03;;;;;;;8.65;6.65;;;28.70;52.90;;;;;;5092362;28;20122;-48
316,2021/07/27 13:18:28;;;;;;;8.45;7.03;;;28.60;53.30;;;;;;5057536;28;20380;-47
317,2021/07/27 13:20:54;;;;;;;9.68;7.30;;;28.50;53.30;;;;;;5092330;28;20042;-48
318,2021/07/27 13:23:20;;;;;;;10.25;7.18;;;28.40;53.60;;;;;;5092224;28;20043;-49
319,2021/07/27 13:25:45;;;;;;;9.07;7.22;;;28.30;53.80;;;;;;5092385;28;20395;-51
320,2021/07/27 13:28:11;;;;;;;8.75;7.07;;;28.30;53.80;;;;;;5092149;28;20055;-45
321,2021/07/27 13:30:36;;;;;;;9.43;7.13;;;28.50;53.30;;;;;;5092381;28;20024;-50
322,2021/07/27 13:33:02;;;;;;;9.18;7.10;;;28.80;52.40;;;;;;5092256;28;20028;-47
323,2021/07/27 13:35:27;;;;;;;8.82;6.72;;;29.30;51.30;;;;;;5091807;28;20097;-46
324,2021/07/27 13:37:53;;;;;;;9.02;6.97;;;29.80;50.20;;;;;;5076549;28;20020;-47
325,2021/07/27 13:40:19;;;;;;;8.00;6.93;;;30.20;49.30;;;;;;5096766;28;20016;-50
326,2021/07/27 13:42:44;;;;;;;7.70;6.70;;;30.20;49.40;;;;;;5078406;28;20024;-49
327,2021/07/27 13:45:10;;;;;;;10.18;7.38;;;30.40;48.80;;;;;;5096293;28;20038;-50
328,2021/07/27 13:47:36;;;;;;;8.48;7.07;;;30.80;48.10;;;;;;5096290;28;20410;-52
329,2021/07/27 13:50:02;;;;;;;9.38;7.60;;;30.90;47.60;;;;;;5078243;28;20108;-50
330,2021/07/27 13:52:28;;;;;;;9.50;7.03;;;30.80;47.90;;;;;;5096319;28;20024;-47
331,2021/07/27 13:54:53;;;;;;;8.00;6.88;;;30.70;48.00;;;;;;5095304;28;20031;-52
332,2021/07/27 13:57:19;;;;;;;8.88;6.63;;;30.80;48.20;;;;;;5077164;28;20109;-45
333,2021/07/27 13:59:45;;;;;;;8.32;6.57;;;30.60;47.90;;;;;;5095796;28;20078;-48
334,2021/07/27 14:02:10;;;;;;;9.73;6.35;;;30.30;48.30;;;;;;5077849;28;20111;-49
335,2021/07/27 14:04:36;;;;;;;8.73;7.15;;;30.00;49.00;;;;;;5077956;28;20484;-47
336,2021/07/27 14:07:01;;;;;;;7.65;6.68;;;30.20;48.80;;;;;;5097216;28;20025;-48
337,2021/07/27 14:09:27;;;;;;;6.97;6.20;;;30.50;48.30;;;;;;5096039;28;20024;-46
338,2021/07/27 14:11:53;;;;;;;7.38;6.47;;;30.40;48.30;;;;;;5095243;28;20376;-50
339,2021/07/27 14:14:18;;;;;;;7.70;6.80;;;30.60;48.00;;;;;;5077377;28;20034;-48
340,2021/07/27 14:16:43;;;;;;;7.95;6.80;;;30.80;47.70;;;;;;5095375;28;20024;-46
341,2021/07/27 14:19:09;;;;;;;7.82;6.60;;;30.80;47.60;;;;;;5077417;28;20083;-46
342,2021/07/27 14:21:34;;;;;;;9.55;6.20;;;30.80;47.50;;;;;;5095215;28;20035;-46
343,2021/07/27 14:24:00;;;;;;;7.53;6.55;;;30.80;47.50;;;;;;5095181;28;20028;-46
344,2021/07/27 14:26:25;;;;;;;9.75;6.80;;;30.80;47.50;;;;;;5095370;28;20032;-49
345,2021/07/27 14:28:51;;;;;;;9.65;6.68;;;30.70;47.70;;;;;;5095079;28;20059;-46
346,2021/07/27 14:31:17;;;;;;;8.27;6.53;;;30.70;47.80;;;;;;5076762;28;20103;-47
347,2021/07/27 14:33:42;;;;;;;7.53;6.72;;;30.70;47.60;;;;;;5076842;28;20032;-48
348,2021/07/27 14:36:08;;;;;;;7.43;6.68;;;30.70;47.60;;;;;;5095088;28;20475;-46
349,2021/07/27 14:38:34;;;;;;;8.05;6.05;;;30.80;47.50;;;;;;5095120;28;20540;-53
350,2021/07/27 14:41:00;;;;;;;8.13;6.50;;;31.00;47.00;;;;;;5094952;28;20028;-54
351,2021/07/27 14:43:26;;;;;;;7.53;6.55;;;30.90;47.00;;;;;;5095022;28;20028;-53
352,2021/07/27 14:45:52;;;;;;;8.98;6.20;;;30.80;47.30;;;;;;5094979;28;20028;-50
353,2021/07/27 14:48:19;;;;;;;7.68;6.85;;;30.70;47.50;;;;;;5094898;28;20028;-47
354,2021/07/27 14:50:45;;;;;;;7.50;6.78;;;30.60;47.50;;;;;;5076632;28;20024;-54
355,2021/07/27 14:53:10;;;;;;;8.32;6.95;;;30.50;47.70;;;;;;5095201;28;20020;-53
356,2021/07/27 14:55:36;;;;;;;7.38;6.55;;;30.80;47.20;;;;;;5094741;28;20024;-52
357,2021/07/27 14:58:03;;;;;;;7.78;6.63;;;31.20;46.50;;;;;;5095037;28;20016;-51
358,2021/07/27 15:00:29;;;;;;;7.88;6.80;;;31.60;45.80;;;;;;5076837;28;20024;-50
359,2021/07/27 15:02:54;;;;;;;7.40;6.40;;;31.80;45.10;;;;;;5094496;28;20027;-47
360,2021/07/27 15:05:20;;;;;;;7.55;6.30;;;32.10;44.60;;;;;;5094488;28;20024;-46
361,2021/07/27 15:07:45;;;;;;;7.80;6.57;;;32.40;44.20;;;;;;5076614;28;20032;-52
362,2021/07/27 15:10:14;;;;;;;7.82;6.50;;;32.30;44.20;;;;;;5094548;28;20429;-50
363,2021/07/27 15:12:40;;;;;;;8.38;7.10;;;31.80;44.90;;;;;;5094509;28;20039;-45
364,2021/07/27 15:15:06;;;;;;;8.32;6.82;;;31.30;45.80;;;;;;5094628;28;20028;-47
365,2021/07/27 15:17:33;;;;;;;8.95;6.80;;;31.10;46.30;;;;;;5094464;28;20034;-44
366,2021/07/27 15:19:58;;;;;;;6.90;6.20;;;30.80;46.70;;;;;;5094362;28;20065;-45
367,2021/07/27 15:22:24;;;;;;;7.85;6.80;;;30.40;47.70;;;;;;5094168;28;20063;-44
368,2021/07/27 15:24:50;;;;;;;8.00;6.80;;;30.50;47.90;;;;;;5094250;28;20467;-44
369,2021/07/27 15:27:16;;;;;;;8.43;7.55;;;30.60;47.80;;;;;;5094571;28;20031;-48
370,2021/07/27 15:29:41;;;;;;;8.32;7.40;;;30.80;47.30;;;;;;5094063;28;20403;-47
371,2021/07/27 15:32:07;;;;;;;7.90;7.10;;;30.70;47.40;;;;;;5075882;28;20060;-48
372,2021/07/27 15:34:32;;;;;;;8.45;7.28;;;30.60;47.90;;;;;;5076256;28;20078;-44
373,2021/07/27 15:36:58;;;;;;;8.95;7.13;;;30.80;47.60;;;;;;5076417;28;20116;-44
374,2021/07/27 15:39:23;;;;;;;7.55;6.75;;;31.10;47.10;;;;;;5075465;28;20071;-47
375,2021/07/27 15:41:50;;;;;;;8.68;7.40;;;31.30;46.60;;;;;;5094112;28;20494;-45
376,2021/07/27 15:44:16;;;;;;;9.52;7.38;;;31.50;46.20;;;;;;5094080;28;20448;-43
377,2021/07/27 15:46:43;;;;;;;13.65;9.10;;;31.20;46.60;;;;;;5093939;28;20103;-47
378,2021/07/27 15:49:09;;;;;;;45.20;17.65;;;30.80;47.40;;;;;;5075711;28;20031;-43
379,2021/07/27 15:51:34;;;;;;;42.33;17.98;;;30.60;48.10;;;;;;5093177;28;20020;-44
380,2021/07/27 15:54:00;;;;;;;39.92;16.77;;;30.50;48.40;;;;;;5093687;28;20479;-49
381,2021/07/27 15:56:25;;;;;;;31.85;15.57;;;30.60;48.40;;;;;;5075547;28;20036;-45
382,2021/07/27 15:58:51;;;;;;;23.35;11.48;;;30.70;48.40;;;;;;5093636;28;20390;-44
383,2021/07/27 16:01:16;;;;;;;24.33;11.93;;;30.80;48.40;;;;;;5093500;28;20039;-46
384,2021/07/27 16:03:42;;;;;;;22.92;12.05;;;30.80;48.60;;;;;;5093354;28;20043;-43
385,2021/07/27 16:06:07;;;;;;;25.20;13.48;;;30.70;48.80;;;;;;5093548;28;20024;-45
386,2021/07/27 16:08:34;;;;;;;25.13;12.45;;;30.40;50.00;;;;;;5093272;28;20027;-46
387,2021/07/27 16:10:59;;;;;;;26.52;12.60;;;30.00;50.80;;;;;;5093394;28;20387;-44
388,2021/07/27 16:13:25;;;;;;;23.30;12.18;;;29.80;51.60;;;;;;5092803;28;20107;-46
389,2021/07/27 16:15:50;;;;;;;21.67;12.65;;;29.50;52.40;;;;;;5093422;28;20028;-44
390,2021/07/27 16:18:16;;;;;;;20.35;12.25;;;29.30;52.80;;;;;;5093342;28;20054;-52
391,2021/07/27 16:20:41;;;;;;;24.02;12.55;;;29.10;53.30;;;;;;5075256;28;20032;-55
392,2021/07/27 16:23:07;;;;;;;19.88;11.30;;;29.00;54.00;;;;;;5090486;28;20028;-56
393,2021/07/27 16:25:33;;;;;;;18.10;11.82;;;29.00;54.10;;;;;;5092686;28;20024;-58
394,2021/07/27 16:27:58;;;;;;;18.67;11.40;;;29.10;53.90;;;;;;5087094;28;20052;-58
395,2021/07/27 16:30:24;;;;;;;13.77;10.52;;;29.10;54.10;;;;;;5074095;28;20443;-53
396,2021/07/27 16:32:49;;;;;;;16.52;10.93;;;29.20;53.80;;;;;;5059469;28;20583;-58
397,2021/07/27 16:35:15;;;;;;;17.63;11.32;;;29.30;53.60;;;;;;5089978;28;20073;-50
398,2021/07/27 16:37:40;;;;;;;21.27;14.40;;;29.50;53.40;;;;;;5074456;28;20082;-57
399,2021/07/27 16:40:07;;;;;;;30.35;17.08;;;29.60;53.30;;;;;;5092789;28;20024;-58
400,2021/07/27 16:42:32;;;;;;;25.88;16.48;;;29.60;53.50;;;;;;5092990;28;20024;-59
401,2021/07/27 16:44:58;;;;;;;30.55;17.98;;;29.50;53.60;;;;;;5057553;28;20020;-55
402,2021/07/27 16:47:23;;;;;;;31.90;18.08;;;29.50;54.00;;;;;;5093190;28;20107;-58
403,2021/07/27 16:49:49;;;;;;;36.08;22.13;;;29.50;54.10;;;;;;5092908;28;20030;-59
404,2021/07/27 16:52:14;;;;;;;43.10;31.00;;;29.50;54.50;;;;;;5092622;28;20433;-56
405,2021/07/27 16:54:40;;;;;;;47.63;39.65;;;29.40;54.70;;;;;;5092828;28;20427;-58
406,2021/07/27 16:57:05;;;;;;;54.20;40.85;;;29.20;54.90;;;;;;5093084;28;20090;-52
407,2021/08/06 00:01:46;;;;;;;2.83;2.30;;;23.30;62.70;;;;;;5091720;28;20082;-42
408,2021/08/06 00:04:11;;;;;;;3.05;2.67;;;23.30;62.80;;;;;;5091837;28;20024;-42
409,2021/08/06 00:06:40;;;;;;;3.28;2.40;;;23.30;62.80;;;;;;5091921;28;20036;-45
410,2021/08/06 00:09:06;;;;;;;3.28;2.63;;;23.30;62.80;;;;;;5091770;28;20081;-43
411,2021/08/06 00:11:32;;;;;;;2.63;2.30;;;23.30;62.80;;;;;;5091850;28;20028;-50
412,2021/08/06 00:13:57;;;;;;;3.42;2.47;;;23.20;62.80;;;;;;5073760;28;20105;-44
413,2021/08/06 00:16:23;;;;;;;3.40;2.55;;;23.20;62.80;;;;;;5091796;28;20489;-47
414,2021/08/06 00:18:49;;;;;;;3.22;2.47;;;23.20;62.80;;;;;;5094101;28;20352;-43
415,2021/08/06 00:21:15;;;;;;;3.08;2.60;;;23.20;62.80;;;;;;5095556;28;20141;-44
416,2021/08/06 00:23:40;;;;;;;2.88;2.22;;;23.20;62.80;;;;;;5095555;28;20032;-42
417,2021/08/06 00:26:06;;;;;;;2.97;2.42;;;23.20;62.90;;;;;;5077227;28;20030;-43
418,2021/08/06 00:28:31;;;;;;;3.35;2.60;;;23.10;62.90;;;;;;5095044;28;20051;-43
419,2021/08/06 00:30:57;;;;;;;3.30;2.65;;;23.10;62.90;;;;;;5094968;28;20368;-46
420,2021/08/06 00:33:22;;;;;;;2.90;2.58;;;23.10;62.90;;;;;;5094708;28;20028;-42
421,2021/08/06 00:35:48;;;;;;;3.58;2.72;;;23.10;63.00;;;;;;5094952;28;20051;-41
422,2021/08/06 00:38:13;;;;;;;3.92;2.83;;;23.00;63.00;;;;;;5076472;28;20028;-41
423,2021/08/06 00:40:39;;;;;;;4.47;2.85;;;23.00;63.00;;;;;;5094696;28;20032;-42
424,2021/08/06 00:43:04;;;;;;;3.28;2.65;;;23.00;63.00;;;;;;5076554;28;20036;-43
425,2021/08/06 00:45:30;;;;;;;3.40;2.55;;;23.00;63.00;;;;;;5094583;28;20382;-40
426,2021/08/06 00:47:55;;;;;;;2.80;2.38;;;23.00;63.10;;;;;;5094484;28;20040;-41
427,2021/08/06 00:50:21;;;;;;;2.85;2.38;;;23.00;63.10;;;;;;5094199;28;20093;-48
428,2021/08/06 00:52:46;;;;;;;3.08;2.22;;;22.90;63.10;;;;;;5076297;28;20043;-41
429,2021/08/06 00:55:12;;;;;;;2.92;2.42;;;22.90;63.10;;;;;;5059624;28;20028;-42
430,2021/08/06 00:57:37;;;;;;;2.78;2.20;;;22.90;63.20;;;;;;5094634;28;20832;-47
431,2021/08/06 01:00:04;;;;;;;3.10;2.40;;;22.90;63.20;;;;;;5092895;28;20024;-41
432,2021/08/06 01:02:39;;;;;;;3.78;2.38;;;22.90;63.20;;;;;;5094244;28;20024;-40
433,2021/08/06 01:05:04;;;;;;;2.95;2.50;;;22.90;63.20;;;;;;5076540;28;20024;-44
434,2021/08/06 01:07:54;;;;;;;3.60;2.67;;;22.90;63.20;;;;;;5094097;28;20028;-44
435,2021/08/06 01:10:22;;;;;;;3.65;2.42;;;22.90;63.20;;;;;;5076970;28;20028;-42
436,2021/08/06 01:12:49;;;;;;;3.17;2.67;;;22.90;63.30;;;;;;5075826;28;20074;-43
437,2021/08/06 01:15:15;;;;;;;3.58;2.90;;;22.80;63.30;;;;;;5075987;28;20020;-44
438,2021/08/06 01:17:42;;;;;;;2.83;2.53;;;22.80;63.30;;;;;;5075988;28;20047;-45
439,2021/08/06 01:20:35;;;;;;;3.20;2.65;;;22.80;63.40;;;;;;5092599;28;20024;-45
440,2021/08/06 01:23:19;;;;;;;3.25;2.58;;;22.80;63.30;;;;;;5073307;28;20032;-41
441,2021/08/06 01:25:53;;;;;;;3.35;2.70;;;22.80;63.40;;;;;;5078400;28;20058;-42
442,2021/08/06 01:28:20;;;;;;;4.60;3.35;;;22.80;63.40;;;;;;5093406;28;20059;-42
443,2021/08/06 01:30:46;;;;;;;2.95;2.63;;;22.80;63.50;;;;;;5092464;28;20024;-41
444,2021/08/06 01:33:12;;;;;;;3.65;2.55;;;22.80;63.50;;;;;;5093577;28;20107;-43
445,2021/08/06 01:35:37;;;;;;;3.92;2.67;;;22.80;63.50;;;;;;5075424;28;20055;-41
446,2021/08/06 01:38:03;;;;;;;3.10;2.55;;;22.80;63.50;;;;;;5093577;28;20073;-44
447,2021/08/06 01:40:34;;;;;;;3.78;2.80;;;22.70;63.50;;;;;;5093559;28;20028;-43
448,2021/08/06 01:43:21;;;;;;;3.42;2.95;;;22.70;63.50;;;;;;5076214;28;20177;-42
449,2021/08/06 01:45:50;;;;;;;3.08;2.60;;;22.70;63.60;;;;;;5077377;28;20073;-41
450,2021/08/06 01:48:17;;;;;;;3.80;2.85;;;22.70;63.60;;;;;;5092326;28;20123;-43
451,2021/08/06 01:50:43;;;;;;;4.22;2.70;;;22.70;63.60;;;;;;5075580;28;20028;-42
452,2021/08/06 01:53:10;;;;;;;4.53;2.90;;;22.70;63.60;;;;;;5074981;28;20051;-47
453,2021/08/06 01:55:44;;;;;;;2.97;2.60;;;22.60;63.60;;;;;;5093072;28;20024;-40
454,2021/08/06 01:58:11;;;;;;;3.60;2.50;;;22.60;63.60;;;;;;5092455;28;20016;-42
455,2021/08/06 02:00:36;;;;;;;3.30;2.63;;;22.60;63.60;;;;;;5075046;28;20031;-42
456,2021/08/06 02:03:02;;;;;;;4.28;2.67;;;22.60;63.60;;;;;;5091957;28;20032;-43
457,2021/08/06 02:05:28;;;;;;;3.15;2.58;;;22.60;63.70;;;;;;5074899;28;20032;-43
458,2021/08/06 02:07:53;;;;;;;3.05;2.70;;;22.60;63.60;;;;;;5091967;28;20020;-45
459,2021/08/06 02:10:19;;;;;;;4.15;2.78;;;22.60;63.70;;;;;;5092917;28;20467;-44
460,2021/08/06 02:12:44;;;;;;;3.70;2.75;;;22.60;63.70;;;;;;5074730;28;20032;-43
461,2021/08/06 02:15:10;;;;;;;3.28;2.83;;;22.60;63.70;;;;;;5092706;28;20077;-39
462,2021/08/06 02:17:36;;;;;;;2.97;2.67;;;22.60;63.70;;;;;;5092616;28;20368;-42
463,2021/08/06 02:20:03;;;;;;;3.50;2.67;;;22.50;63.70;;;;;;5091824;28;20527;-46
464,2021/08/06 02:22:29;;;;;;;3.95;3.05;;;22.50;63.70;;;;;;5074904;28;20070;-42
465,2021/08/06 02:24:54;;;;;;;4.10;3.42;;;22.50;63.70;;;;;;5091424;28;20059;-40
466,2021/08/06 02:27:20;;;;;;;4.35;2.80;;;22.50;63.70;;;;;;5091425;28;20552;-40
467,2021/08/06 02:29:45;;;;;;;3.42;3.10;;;22.50;63.70;;;;;;5091287;28;20048;-42
468,2021/08/06 02:32:11;;;;;;;3.83;3.05;;;22.50;63.80;;;;;;5074496;28;20383;-41
469,2021/08/06 02:34:36;;;;;;;4.90;2.85;;;22.50;63.80;;;;;;5074588;28;20035;-42
470,2021/08/06 02:37:02;;;;;;;3.72;2.85;;;22.50;63.80;;;;;;5074608;28;20024;-45
471,2021/08/06 02:39:28;;;;;;;3.97;2.85;;;22.50;63.80;;;;;;5074583;28;20475;-40
472,2021/08/06 02:41:57;;;;;;;4.55;2.95;;;22.50;63.80;;;;;;5091954;28;20451;-40
473,2021/08/06 02:44:23;;;;;;;5.30;3.03;;;22.50;63.80;;;;;;5092601;28;20028;-39
474,2021/08/06 02:46:48;;;;;;;4.40;3.42;;;22.40;63.80;;;;;;5092175;28;20034;-40
475,2021/08/06 02:49:14;;;;;;;4.18;3.05;;;22.40;63.80;;;;;;5074163;28;20024;-41
476,2021/08/06 02:51:39;;;;;;;3.95;2.88;;;22.40;63.90;;;;;;5092132;28;20035;-42
477,2021/08/06 02:54:05;;;;;;;4.32;3.30;;;22.40;63.90;;;;;;5092072;28;20110;-40
478,2021/08/06 02:56:30;;;;;;;4.32;3.05;;;22.40;63.90;;;;;;5092044;28;20024;-42
479,2021/08/06 02:58:55;;;;;;;3.20;2.63;;;22.30;63.90;;;;;;5092076;28;20032;-43
480,2021/08/06 03:01:21;;;;;;;4.38;2.85;;;22.40;63.90;;;;;;5092059;28;20031;-44
481,2021/08/06 03:03:46;;;;;;;3.03;2.72;;;22.40;63.90;;;;;;5092235;28;20089;-42
482,2021/08/06 03:06:12;;;;;;;3.88;3.05;;;22.30;64.00;;;;;;5092118;28;20032;-39
483,2021/08/06 03:08:37;;;;;;;4.53;3.10;;;22.30;64.00;;;;;;5091905;28;20031;-39
