sensor_id;sensor_type;location;lat;lon;timestamp;pressure;altitude;pressure_sealevel;temperature;humidity
11444;BME280;5778;47.856;12.154;2021-02-25T02:27:36;97623.06;;;1.45;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:30:05;97617.97;;;1.52;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:32:32;97618.97;;;1.43;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:34:58;97621.41;;;1.28;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:37:25;97616.97;;;1.29;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:39:52;97617.63;;;1.23;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:42:18;97608.47;;;1.19;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:44:45;97605.19;;;1.17;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:47:11;97615.69;;;1.33;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:49:37;97606.66;;;1.27;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:52:04;97607.81;;;1.17;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:54:30;97601.41;;;1.27;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:56:57;97601.63;;;1.42;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T02:59:25;97610.78;;;1.38;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:01:51;97601.09;;;1.22;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:04:18;97598.97;;;1.18;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:06:45;97599.78;;;1.10;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:09:14;97603.22;;;1.11;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:11:50;97607.31;;;1.21;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:14:22;97598.31;;;1.24;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:16:49;97598.97;;;1.34;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:19:15;97601.25;;;1.29;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:21:41;97609.28;;;1.27;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:24:09;97597.66;;;1.06;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:26:37;97610.06;;;0.96;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:29:07;97613.53;;;1.04;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:31:34;97616.25;;;0.87;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:34:05;97610.22;;;0.94;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:36:32;97615.00;;;0.99;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:39:01;97615.00;;;0.99;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:41:29;97610.75;;;1.06;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:43:58;97615.31;;;0.96;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:46:26;97621.22;;;1.06;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:48:55;97624.16;;;0.95;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:51:22;97620.22;;;0.91;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:54:09;97623.16;;;0.96;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:56:59;97633.09;;;0.76;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T03:59:45;97638.19;;;0.86;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:02:12;97629.00;;;0.74;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:04:40;97629.34;;;0.71;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:07:07;97636.56;;;0.85;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:09:42;97631.75;;;0.64;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:12:13;97634.03;;;0.67;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:14:42;97624.22;;;0.61;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:17:10;97632.91;;;0.62;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:19:37;97619.50;;;0.73;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:22:14;97629.94;;;0.57;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:24:40;97623.38;;;0.53;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:27:35;97629.59;;;0.52;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:30:05;97635.13;;;0.49;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:32:32;97628.78;;;0.59;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:35:14;97633.84;;;0.53;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:37:42;97637.34;;;0.69;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:40:09;97638.63;;;0.65;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:42:51;97634.88;;;0.60;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:45:18;97637.63;;;0.58;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:47:44;97638.72;;;0.48;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:50:12;97643.03;;;0.65;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:52:42;97637.78;;;0.57;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:55:15;97639.41;;;0.50;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T04:57:59;97640.34;;;0.41;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T05:00:35;97639.34;;;0.42;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T05:03:12;97643.16;;;0.55;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T05:05:39;97646.53;;;0.40;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T05:31:55;97650.28;;;0.37;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T05:34:21;97645.22;;;0.36;100.00
11444;BME280;5778;47.856;12.154;2021-02-25T05:37:10;97651.22;;;0.28;100.00
