sensor_id;sensor_type;location;lat;lon;timestamp;P1;durP1;ratioP1;P2;durP2;ratioP2
15216;SDS011;7711;46.634;14.318;2021-02-14T00:00:26;15.20;;;7.27;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:02:53;15.33;;;7.27;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:05:20;16.57;;;7.17;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:07:47;12.57;;;6.80;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:10:14;11.43;;;5.00;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:12:40;11.40;;;5.87;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:15:07;8.90;;;4.67;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:17:34;10.63;;;5.03;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:20:07;8.17;;;4.80;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:37:34;9.27;;;4.53;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:40:01;6.90;;;4.27;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:42:28;8.10;;;4.27;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:44:55;11.90;;;5.23;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:47:21;9.37;;;4.57;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:49:47;7.87;;;4.77;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:52:14;8.77;;;4.67;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:54:44;9.00;;;5.43;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:57:11;12.07;;;6.00;;
15216;SDS011;7711;46.634;14.318;2021-02-14T00:59:39;10.73;;;5.63;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:02:09;10.97;;;5.70;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:04:35;11.93;;;5.80;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:07:02;9.30;;;5.33;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:09:29;10.67;;;6.47;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:11:57;10.93;;;6.20;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:14:24;16.23;;;7.20;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:16:50;16.23;;;6.87;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:19:20;33.00;;;13.03;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:21:47;35.83;;;15.90;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:24:13;13.80;;;7.83;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:26:42;19.23;;;9.27;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:29:10;18.47;;;9.47;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:31:36;20.20;;;9.80;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:34:03;21.30;;;10.13;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:36:29;22.93;;;9.80;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:38:55;18.83;;;9.10;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:41:22;17.80;;;9.57;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:43:49;21.23;;;9.70;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:46:16;23.93;;;10.00;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:48:43;20.07;;;8.80;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:51:10;17.87;;;7.90;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:53:36;16.37;;;8.07;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:56:03;15.83;;;8.17;;
15216;SDS011;7711;46.634;14.318;2021-02-14T01:58:29;12.93;;;6.60;;
15216;SDS011;7711;46.634;14.318;2021-02-14T02:00:56;13.17;;;6.50;;
15216;SDS011;7711;46.634;14.318;2021-02-14T02:03:24;10.90;;;5.63;;
15216;SDS011;7711;46.634;14.318;2021-02-14T02:05:51;10.57;;;6.10;;
