Datum,Zeit,PM10,PM25,PM100
25Oct2021,13:35:28,5.0,5.0,5.0
25Oct2021,13:35:29,5.0,5.0,5.0
25Oct2021,13:35:30,5.0,5.0,5.0
25Oct2021,13:35:31,5.0,5.0,5.0
25Oct2021,13:35:32,5.0,5.0,5.0
25Oct2021,13:35:33,5.0,5.0,5.0
25Oct2021,13:35:34,5.0,5.0,5.0
25Oct2021,13:35:35,3.0,4.0,4.0
25Oct2021,13:35:36,3.0,4.0,4.0
25Oct2021,13:35:37,3.0,4.0,4.0
25Oct2021,13:35:38,4.0,5.0,5.0
25Oct2021,13:35:39,4.0,5.0,5.0
25Oct2021,13:35:40,4.0,5.0,5.0
25Oct2021,13:35:41,5.0,5.0,5.0
25Oct2021,13:35:42,5.0,5.0,5.0
25Oct2021,13:35:43,5.0,5.0,5.0
25Oct2021,13:35:44,4.0,4.0,4.0
25Oct2021,13:35:45,4.0,4.0,4.0
25Oct2021,13:35:46,3.0,4.0,4.0
25Oct2021,13:35:47,3.0,4.0,4.0
25Oct2021,13:35:48,3.0,4.0,4.0
25Oct2021,13:35:49,4.0,4.0,4.0
25Oct2021,13:35:50,4.0,4.0,4.0
25Oct2021,13:35:51,3.0,4.0,4.0
25Oct2021,13:35:52,3.0,4.0,4.0
25Oct2021,13:35:53,5.0,5.0,5.0
25Oct2021,13:35:54,5.0,5.0,5.0
25Oct2021,13:35:55,5.0,6.0,6.0
25Oct2021,13:35:56,4.0,5.0,5.0
25Oct2021,13:35:57,4.0,5.0,5.0
25Oct2021,13:35:58,5.0,6.0,6.0
25Oct2021,13:35:59,5.0,6.0,6.0
25Oct2021,13:36:00,4.0,6.0,6.0
25Oct2021,13:36:01,4.0,6.0,6.0
25Oct2021,13:36:02,5.0,7.0,7.0
25Oct2021,13:36:03,5.0,7.0,7.0
25Oct2021,13:36:04,4.0,6.0,6.0
25Oct2021,13:36:05,5.0,7.0,7.0
25Oct2021,13:36:06,5.0,7.0,7.0
25Oct2021,13:36:07,5.0,7.0,7.0
25Oct2021,13:36:08,5.0,7.0,7.0
25Oct2021,13:36:09,5.0,7.0,7.0
25Oct2021,13:36:10,4.0,6.0,7.0
25Oct2021,13:36:11,4.0,6.0,6.0
25Oct2021,13:36:12,4.0,6.0,6.0
25Oct2021,13:36:13,4.0,6.0,6.0
25Oct2021,13:36:14,5.0,6.0,7.0
