Datum,Zeit,PM10,PM25,PM100
15112021,23:20:38,11.0,17.0,18.0
15112021,23:20:39,11.0,17.0,19.0
15112021,23:20:40,11.0,17.0,19.0
15112021,23:20:41,11.0,17.0,18.0
15112021,23:20:42,11.0,17.0,18.0
15112021,23:20:43,11.0,17.0,18.0
15112021,23:20:44,11.0,17.0,18.0
15112021,23:20:45,11.0,17.0,18.0
15112021,23:20:46,12.0,18.0,19.0
15112021,23:20:47,12.0,18.0,19.0
15112021,23:20:48,12.0,18.0,20.0
15112021,23:20:49,12.0,18.0,20.0
15112021,23:20:50,11.0,18.0,20.0
15112021,23:20:51,12.0,18.0,20.0
15112021,23:20:52,12.0,18.0,20.0
15112021,23:20:53,12.0,18.0,20.0
15112021,23:20:54,12.0,18.0,20.0
15112021,23:20:55,12.0,16.0,18.0
15112021,23:20:56,12.0,16.0,18.0
15112021,23:20:57,12.0,16.0,17.0
15112021,23:20:58,12.0,16.0,17.0
15112021,23:20:59,12.0,16.0,17.0
15112021,23:21:00,12.0,16.0,17.0
15112021,23:21:01,12.0,16.0,17.0
15112021,23:21:02,12.0,16.0,17.0
15112021,23:21:03,12.0,16.0,17.0
15112021,23:21:04,12.0,16.0,16.0
15112021,23:21:05,12.0,16.0,16.0
15112021,23:21:06,12.0,15.0,15.0
15112021,23:21:07,12.0,15.0,15.0
15112021,23:21:08,12.0,15.0,15.0
15112021,23:21:09,11.0,15.0,15.0
15112021,23:21:10,11.0,15.0,15.0
15112021,23:21:11,11.0,15.0,15.0
15112021,23:21:12,11.0,15.0,15.0
15112021,23:21:13,11.0,16.0,16.0
15112021,23:21:14,11.0,16.0,16.0
15112021,23:21:15,11.0,16.0,17.0
15112021,23:21:16,11.0,16.0,16.0
15112021,23:21:17,11.0,16.0,16.0
15112021,23:21:18,11.0,16.0,16.0
15112021,23:21:19,11.0,16.0,16.0
15112021,23:21:20,9.0,15.0,15.0
15112021,23:21:21,9.0,15.0,15.0
15112021,23:21:22,9.0,15.0,15.0
15112021,23:21:23,10.0,15.0,15.0
15112021,23:21:24,10.0,15.0,15.0
15112021,23:21:25,10.0,15.0,15.0
